Nome;Prov;Codice_Istat;RER_32;RER_53;RER_58
Agazzano;PC;33001;0;0;0
Alseno;PC;33002;0;0;0
Besenzone;PC;33003;0;0;0
Bettola;PC;33004;0;0;0
Bobbio;PC;33005;0;0;0
Borgonovo Val Tidone;PC;33006;0;0;0
Cadeo;PC;33007;0;0;0
Calendasco;PC;33008;0;0;0
Caminata;PC;33009;0;0;0
Caorso;PC;33010;0;0;0
Carpaneto Piacentino;PC;33011;0;0;0
Castel San Giovanni;PC;33013;0;0;0
Castell'Arquato;PC;33012;0;0;0
Castelvetro Piacentino;PC;33014;0;0;0
Cerignale;PC;33015;0;0;0
Coli;PC;33016;0;0;0
Corte Brugnatella;PC;33017;0;0;0
Cortemaggiore;PC;33018;0;0;0
Farini;PC;33019;0;0;0
Ferriere;PC;33020;0;0;0
Fiorenzuola d'Arda;PC;33021;0;0;0
Gazzola;PC;33022;0;0;0
Gossolengo;PC;33023;0;0;0
Gragnano Trebbiense;PC;33024;0;0;0
Gropparello;PC;33025;0;0;0
Lugagnano Val d'Arda;PC;33026;0;0;0
Monticelli d'Ongina;PC;33027;0;0;0
Morfasso;PC;33028;0;0;0
Nibbiano;PC;33029;0;0;0
Ottone;PC;33030;0;0;0
Pecorara;PC;33031;0;0;0
Piacenza;PC;33032;0;0;0
Pianello Val Tidone;PC;33033;0;0;0
Piozzano;PC;33034;0;0;0
Podenzano;PC;33035;0;0;0
Ponte dell'Olio;PC;33036;0;0;0
Pontenure;PC;33037;0;0;0
Rivergaro;PC;33038;0;0;0
Rottofreno;PC;33039;0;0;0
San Giorgio Piacentino;PC;33040;0;0;0
San Pietro in Cerro;PC;33041;0;0;0
Sarmato;PC;33042;0;0;0
Travo;PC;33043;0;0;0
Vernasca;PC;33044;0;0;0
Vigolzone;PC;33045;0;0;0
Villanova sull'Arda;PC;33046;0;0;0
Zerba;PC;33047;0;0;0
Ziano Piacentino;PC;33048;0;0;0
Albareto;PR;34001;0;0;0
Bardi;PR;34002;0;0;0
Bedonia;PR;34003;0;0;0
Berceto;PR;34004;0;0;0
Bore;PR;34005;0;0;0
Borgo Val di Taro;PR;34006;0;0;0
Busseto;PR;34007;0;0;0
Calestano;PR;34008;0;0;0
Collecchio;PR;34009;0;0;0
Colorno;PR;34010;0;0;0
Compiano;PR;34011;0;0;0
Corniglio;PR;34012;0;0;0
Felino;PR;34013;0;0;0
Fidenza;PR;34014;0;0;0
Fontanellato;PR;34015;0;0;0
Fontevivo;PR;34016;0;0;0
Fornovo di Taro;PR;34017;0;0;0
Langhirano;PR;34018;0;0;0
Lesignano de' Bagni;PR;34019;0;0;0
Medesano;PR;34020;0;0;0
Mezzani;PR;34021;0;0;0
Monchio delle Corti;PR;34022;0;0;0
Montechiarugolo;PR;34023;0;0;0
Neviano degli Arduini;PR;34024;0;0;0
Noceto;PR;34025;0;0;0
Palanzano;PR;34026;0;0;0
Parma;PR;34027;0;0;0
Pellegrino Parmense;PR;34028;0;0;0
Polesine Parmense;PR;34029;0;0;0
Roccabianca;PR;34030;0;0;0
Sala Baganza;PR;34031;0;0;0
Salsomaggiore Terme;PR;34032;0;0;0
San Secondo Parmense;PR;34033;0;0;0
Sissa;PR;34034;0;0;0
Solignano;PR;34035;0;0;0
Soragna;PR;34036;0;0;0
Sorbolo;PR;34037;0;0;0
Terenzo;PR;34038;0;0;0
Tizzano Val Parma;PR;34039;0;0;0
Tornolo;PR;34040;0;0;0
Torrile;PR;34041;0;0;0
Traversetolo;PR;34042;0;0;0
Trecasali;PR;34043;0;0;0
Valmozzola;PR;34044;0;0;0
Varano de' Melegari;PR;34045;0;0;0
Varsi;PR;34046;0;0;0
Zibello;PR;34048;0;0;0
Albinea;RE;35001;0;0;0
Bagnolo in Piano;RE;35002;0;0;0
Baiso;RE;35003;0;0;0
Bibbiano;RE;35004;0;0;0
Boretto;RE;35005;0;1;1
Brescello;RE;35006;0;1;1
Busana;RE;35007;0;0;0
Cadelbosco di Sopra;RE;35008;0;0;0
Campagnola Emilia;RE;35009;1;1;1
Campegine;RE;35010;0;0;0
Canossa;RE;35018;0;0;0
Carpineti;RE;35011;0;0;0
Casalgrande;RE;35012;0;0;0
Casina;RE;35013;0;0;0
Castellarano;RE;35014;0;0;0
Castelnovo di Sotto;RE;35015;0;0;0
Castelnovo ne' Monti;RE;35016;0;0;0
Cavriago;RE;35017;0;0;0
Collagna;RE;35019;0;0;0
Correggio;RE;35020;1;1;1
Fabbrico;RE;35021;1;1;1
Gattatico;RE;35022;0;0;0
Gualtieri;RE;35023;0;1;1
Guastalla;RE;35024;0;1;1
Ligonchio;RE;35025;0;0;0
Luzzara;RE;35026;0;1;1
Montecchio Emilia;RE;35027;0;0;0
Novellara;RE;35028;1;1;1
Poviglio;RE;35029;0;0;0
Quattro Castella;RE;35030;0;0;0
Ramiseto;RE;35031;0;0;0
Reggio nell'Emilia;RE;35033;0;0;1
Reggiolo;RE;35032;1;1;1
Rio Saliceto;RE;35034;1;1;1
Rolo;RE;35035;1;1;1
Rubiera;RE;35036;0;0;0
San Martino in Rio;RE;35037;0;1;1
San Polo d'Enza;RE;35038;0;0;0
Sant'Ilario d'Enza;RE;35039;0;0;0
Scandiano;RE;35040;0;0;0
Toano;RE;35041;0;0;0
Vetto;RE;35042;0;0;0
Vezzano sul Crostolo;RE;35043;0;0;0
Viano;RE;35044;0;0;0
Villa Minozzo;RE;35045;0;0;0
Bastiglia;MO;36001;0;1;1
Bomporto;MO;36002;1;1;1
Campogalliano;MO;36003;0;1;1
Camposanto;MO;36004;1;1;1
Carpi;MO;36005;1;1;1
Castelfranco Emilia;MO;36006;0;1;1
Castelnuovo Rangone;MO;36007;0;0;0
Castelvetro di Modena;MO;36008;0;0;0
Cavezzo;MO;36009;1;1;1
Concordia sulla Secchia;MO;36010;1;1;1
Fanano;MO;36011;0;0;0
Finale Emilia;MO;36012;1;1;1
Fiorano Modenese;MO;36013;0;0;0
Fiumalbo;MO;36014;0;0;0
Formigine;MO;36015;0;0;0
Frassinoro;MO;36016;0;0;0
Guiglia;MO;36017;0;0;0
Lama Mocogno;MO;36018;0;0;0
Maranello;MO;36019;0;0;0
Marano sul Panaro;MO;36020;0;0;0
Medolla;MO;36021;1;1;1
Mirandola;MO;36022;1;1;1
Modena;MO;36023;0;0;1
Montecreto;MO;36024;0;0;0
Montefiorino;MO;36025;0;0;0
Montese;MO;36026;0;0;0
Nonantola;MO;36027;0;1;1
Novi di Modena;MO;36028;1;1;1
Palagano;MO;36029;0;0;0
Pavullo nel Frignano;MO;36030;0;0;0
Pievepelago;MO;36031;0;0;0
Polinago;MO;36032;0;0;0
Prignano sulla Secchia;MO;36033;0;0;0
Ravarino;MO;36034;1;1;1
Riolunato;MO;36035;0;0;0
San Cesario sul Panaro;MO;36036;0;0;0
San Felice sul Panaro;MO;36037;1;1;1
San Possidonio;MO;36038;1;1;1
San Prospero;MO;36039;1;1;1
Sassuolo;MO;36040;0;0;0
Savignano sul Panaro;MO;36041;0;0;0
Serramazzoni;MO;36042;0;0;0
Sestola;MO;36043;0;0;0
Soliera;MO;36044;1;1;1
Spilamberto;MO;36045;0;0;0
Vignola;MO;36046;0;0;0
Zocca;MO;36047;0;0;0
Anzola dell'Emilia;BO;37001;0;0;0
Argelato;BO;37002;0;1;1
Baricella;BO;37003;0;1;1
Bazzano;BO;37004;0;0;0
Bentivoglio;BO;37005;0;1;1
Bologna;BO;37006;0;0;1
Borgo Tossignano;BO;37007;0;0;0
Budrio;BO;37008;0;0;0
Calderara di Reno;BO;37009;0;0;0
Camugnano;BO;37010;0;0;0
Casalecchio di Reno;BO;37011;0;0;0
Casalfiumanese;BO;37012;0;0;0
Castel d'Aiano;BO;37013;0;0;0
Castel del Rio;BO;37014;0;0;0
Castel di Casio;BO;37015;0;0;0
Castel Guelfo di Bologna;BO;37016;0;0;0
Castel Maggiore;BO;37019;0;1;1
Castel San Pietro Terme;BO;37020;0;0;0
Castello d'Argile;BO;37017;0;1;1
Castello di Serravalle;BO;37018;0;0;0
Castenaso;BO;37021;0;0;0
Castiglione dei Pepoli;BO;37022;0;0;0
Crespellano;BO;37023;0;0;0
Crevalcore;BO;37024;1;1;1
Dozza;BO;37025;0;0;0
Fontanelice;BO;37026;0;0;0
Gaggio Montano;BO;37027;0;0;0
Galliera;BO;37028;1;1;1
Granaglione;BO;37029;0;0;0
Granarolo dell'Emilia;BO;37030;0;0;0
Grizzana Morandi;BO;37031;0;0;0
Imola;BO;37032;0;0;0
Lizzano in Belvedere;BO;37033;0;0;0
Loiano;BO;37034;0;0;0
Malalbergo;BO;37035;0;1;1
Marzabotto;BO;37036;0;0;0
Medicina;BO;37037;0;0;0
Minerbio;BO;37038;0;1;1
Molinella;BO;37039;0;1;1
Monghidoro;BO;37040;0;0;0
Monte San Pietro;BO;37042;0;0;0
Monterenzio;BO;37041;0;0;0
Monteveglio;BO;37043;0;0;0
Monzuno;BO;37044;0;0;0
Mordano;BO;37045;0;0;0
Ozzano dell'Emilia;BO;37046;0;0;0
Pianoro;BO;37047;0;0;0
Pieve di Cento;BO;37048;1;1;1
Porretta Terme;BO;37049;0;0;0
Sala Bolognese;BO;37050;0;1;1
San Benedetto Val di Sambro;BO;37051;0;0;0
San Giorgio di Piano;BO;37052;0;1;1
San Giovanni in Persiceto;BO;37053;1;1;1
San Lazzaro di Savena;BO;37054;0;0;0
San Pietro in Casale;BO;37055;1;1;1
Sant'Agata Bolognese;BO;37056;0;1;1
Sasso Marconi;BO;37057;0;0;0
Savigno;BO;37058;0;0;0
Vergato;BO;37059;0;0;0
Zola Predosa;BO;37060;0;0;0
Argenta;FE;38001;0;0;1
Berra;FE;38002;0;0;0
Bondeno;FE;38003;1;1;1
Cento;FE;38004;1;1;1
Codigoro;FE;38005;0;0;0
Comacchio;FE;38006;0;0;0
Copparo;FE;38007;0;0;0
Ferrara;FE;38008;0;0;1
Formignana;FE;38009;0;0;0
Goro;FE;38025;0;0;0
Jolanda di Savoia;FE;38010;0;0;0
Lagosanto;FE;38011;0;0;0
Masi Torello;FE;38012;0;0;0
Massa Fiscaglia;FE;38013;0;0;0
Mesola;FE;38014;0;0;0
Migliarino;FE;38015;0;0;0
Migliaro;FE;38026;0;0;0
Mirabello;FE;38016;1;1;1
Ostellato;FE;38017;0;0;0
Poggio Renatico;FE;38018;1;1;1
Portomaggiore;FE;38019;0;0;0
Ro;FE;38020;0;0;0
Sant'Agostino;FE;38021;1;1;1
Tresigallo;FE;38024;0;0;0
Vigarano Mainarda;FE;38022;1;1;1
Voghiera;FE;38023;0;0;0
Alfonsine;RA;39001;0;0;0
Bagnacavallo;RA;39002;0;0;0
Bagnara di Romagna;RA;39003;0;0;0
Brisighella;RA;39004;0;0;0
Casola Valsenio;RA;39005;0;0;0
Castel Bolognese;RA;39006;0;0;0
Cervia;RA;39007;0;0;0
Conselice;RA;39008;0;0;0
Cotignola;RA;39009;0;0;0
Faenza;RA;39010;0;0;0
Fusignano;RA;39011;0;0;0
Lugo;RA;39012;0;0;0
Massa Lombarda;RA;39013;0;0;0
Ravenna;RA;39014;0;0;0
Riolo Terme;RA;39015;0;0;0
Russi;RA;39016;0;0;0
Sant'Agata sul Santerno;RA;39017;0;0;0
Solarolo;RA;39018;0;0;0
Bagno di Romagna;FC;40001;0;0;0
Bertinoro;FC;40003;0;0;0
Borghi;FC;40004;0;0;0
Castrocaro Terme e Terra del Sole;FC;40005;0;0;0
Cesena;FC;40007;0;0;0
Cesenatico;FC;40008;0;0;0
Civitella di Romagna;FC;40009;0;0;0
Dovadola;FC;40011;0;0;0
ForlÃ¬;FC;40012;0;0;0
Forlimpopoli;FC;40013;0;0;0
Galeata;FC;40014;0;0;0
Gambettola;FC;40015;0;0;0
Gatteo;FC;40016;0;0;0
Longiano;FC;40018;0;0;0
Meldola;FC;40019;0;0;0
Mercato Saraceno;FC;40020;0;0;0
Modigliana;FC;40022;0;0;0
Montiano;FC;40028;0;0;0
Portico e San Benedetto;FC;40031;0;0;0
Predappio;FC;40032;0;0;0
Premilcuore;FC;40033;0;0;0
Rocca San Casciano;FC;40036;0;0;0
Roncofreddo;FC;40037;0;0;0
San Mauro Pascoli;FC;40041;0;0;0
Santa Sofia;FC;40043;0;0;0
Sarsina;FC;40044;0;0;0
Savignano sul Rubicone;FC;40045;0;0;0
Sogliano al Rubicone;FC;40046;0;0;0
Tredozio;FC;40049;0;0;0
Verghereto;FC;40050;0;0;0
Bellaria-Igea Marina;RN;99001;0;0;0
Casteldelci;RN;99021;0;0;0
Cattolica;RN;99002;0;0;0
Coriano;RN;99003;0;0;0
Gemmano;RN;99004;0;0;0
Maiolo;RN;99022;0;0;0
Misano Adriatico;RN;99005;0;0;0
Mondaino;RN;99006;0;0;0
Monte Colombo;RN;99007;0;0;0
Montefiore Conca;RN;99008;0;0;0
Montegridolfo;RN;99009;0;0;0
Montescudo;RN;99010;0;0;0
Morciano di Romagna;RN;99011;0;0;0
Novafeltria;RN;99023;0;0;0
Pennabilli;RN;99024;0;0;0
Poggio Berni;RN;99012;0;0;0
Riccione;RN;99013;0;0;0
Rimini;RN;99014;0;0;0
Saludecio;RN;99015;0;0;0
San Clemente;RN;99016;0;0;0
San Giovanni in Marignano;RN;99017;0;0;0
San Leo;RN;99025;0;0;0
Sant'Agata Feltria;RN;99026;0;0;0
Santarcangelo di Romagna;RN;99018;0;0;0
Talamello;RN;99027;0;0;0
Torriana;RN;99019;0;0;0
Verucchio;RN;99020;0;0;0